n,actual_count,expected_count,error
2,1,0.0,1.0
1002,136,118.57120304597103,17.428796954028968
2002,249,219.3424164592928,29.657583540707208
3002,352,315.1802192642474,36.8197807357526
4002,456,408.06523065146547,47.93476934853453
5002,560,498.8682382786724,61.13176172132762
6002,655,588.0765019779639,66.92349802203614
7002,751,675.9997527651934,75.00024723480658
8002,856,762.8513671316067,93.14863286839329
9002,946,848.7867733443817,97.21322665561831
10002,1033,933.9239357755321,99.07606422446793
11002,1130,1018.3552557692831,111.64474423071692
12002,1231,1102.15494599893,128.8450540010699
13002,1313,1185.3838364910077,127.61616350899226
14002,1404,1268.0926367979741,135.90736320202586
15002,1491,1350.324225694576,140.67577430542406
16002,1570,1432.1153041062967,137.88469589370334
17002,1678,1513.4976172495478,164.50238275045217
18002,1760,1594.4988770854775,165.5011229145225
19002,1858,1675.1434711967875,182.85652880321254
20002,1941,1755.4530162097803,185.54698379021966
21002,2031,1835.446795942495,195.5532040575049
22002,2115,1915.1421126499222,199.85788735007782
23002,2197,1994.5545717791315,202.4454282208685
24002,2277,2073.6983151711484,203.30168482885165
25002,2371,2152.586213806932,218.41378619306806
26002,2459,2231.230028456713,227.76997154328683
27002,2540,2309.640544608974,230.35945539102613
28002,2628,2387.8276865989587,240.17231340104127
29002,2720,2465.800614773087,254.1993852269129
30002,2812,2543.5678087099463,268.43219129005365
31002,2893,2621.1371388977377,271.8628611022623
32002,2981,2698.5159287907836,282.4840712092164
33002,3053,2775.711008797309,277.2889912026908
34002,3136,2852.7287634607683,283.2712365392317
35002,3205,2929.575172868131,275.4248271318688
36002,3304,3006.2558491365667,297.74415086343333
37002,3378,3082.7760686841825,295.2239313158175
38002,3469,3159.1408008729377,309.8591991270623
39002,3555,3235.3547335164617,319.6452664835383
40002,3634,3311.4222956676654,322.57770433233463
41002,3727,3387.347678037086,339.6523219629139
42002,3798,3463.1348513402027,334.86514865979734
43002,3868,3538.787582828155,329.2124171718451
44002,3966,3614.3094512198913,351.69054878010866
45002,4039,3689.7038602231833,349.29613977681674
46002,4127,3764.974050806346,362.025949193654
47002,4219,3840.123112360753,378.8768876392469
48002,4307,3915.153992875942,391.8460071240579
49002,4383,3990.069508233433,392.9304917665668
50002,4460,4064.8723507120358,395.12764928796423
51002,4544,4139.565096786016,404.4349032139844
52002,4615,4214.1502142876525,400.8497857123475
53002,4698,4288.630068997237,409.3699310027632
54002,4773,4363.006930716235,409.9930692837652
55002,4862,4437.282978872986,424.71702112701405
56002,4937,4511.460307704799,425.53969229520135
57002,5008,4585.540931055433,422.45906894456675
58002,5091,4659.526786822781,431.4732131772189
59002,5172,4733.41974108786,438.5802589121404
60002,5244,4807.221591952986,436.7784080470137
61002,5329,4880.934073114096,448.06592688590445
62002,5420,4954.558857189716,465.44114281028396
63002,5499,5028.097558826829,470.9024411731707
64002,5574,5101.551737601881,472.44826239811937
65002,5667,5174.922900733437,492.077099266563
66002,5737,5248.212505621452,488.7874943785482
67002,5821,5321.421962226681,499.578037773319
68002,5891,5394.552635302538,496.44736469746204
69002,5986,5467.605846490591,518.3941535094091
70002,6074,5540.582876289903,533.4171237100973
71002,6151,5613.4849659094725,537.5150340905275
72002,6215,5686.313319012304,528.6866809876956
73002,6289,5759.069103358848,529.9308966411518
74002,6373,5831.753452356909,541.2465476430907
75002,6456,5904.367466524576,551.6325334754238
76002,6539,5976.912214872098,562.087785127902
77002,6622,6049.3887362082605,572.6112637917395
78002,6695,6121.798040376278,573.2019596237224
79002,6776,6194.1411094238765,581.8588905761235
80002,6847,6266.418898711871,580.5811012881286
81002,6926,6338.632337965171,587.3676620348288
82002,6999,6410.782332269909,588.2176677300913
83002,7067,6482.86976302006,584.1302369799396
84002,7147,6554.8954888167145,592.1045111832855
85002,7221,6626.860346322857,594.1396536771426
86002,7304,6698.765151076414,605.2348489235856
87002,7383,6770.610698264043,612.3893017359569
88002,7447,6842.397763457945,604.6022365420549
89002,7541,6914.1271033179755,626.8728966820245
90002,7629,6985.799456260935,643.2005437390653
91002,7690,7057.41554309902,632.5844569009796
92002,7776,7128.976067649127,647.0239323508731
93002,7851,7200.481717314657,650.5182826853434
94002,7932,7271.9331636413535,660.0668363586465
95002,8013,7343.331062848569,669.6689371514312
96002,8073,7414.676056337352,658.3239436626482
97002,8163,7485.968771176509,677.0312288234909
98002,8241,7557.209820567901,683.7901794320987
99002,8316,7628.399804292021,687.6001957079789
100002,8393,7699.539309134876,693.460690865124
101002,8476,7770.628909297151,705.371090702849
102002,8537,7841.669166786562,695.3308332134384
103002,8610,7912.66063179423,697.3393682057704
104002,8703,7983.603843055898,719.3961569441017
105002,8783,8054.499328198719,728.500671801281
106002,8871,8125.347604074344,745.6523959256556
107002,8930,8196.149177078967,733.8508229210329
108002,9013,8266.904543460914,746.0954565390857
109002,9078,8337.614189616506,740.3858103834937
110002,9165,8408.278592374536,756.721407625464
111002,9240,8478.898219270102,761.1017807298977
112002,9317,8549.473528808163,767.5264711918371
113002,9404,8620.004970717324,783.9950292826761
114002,9470,8690.492986194333,779.5070138056672
115002,9566,8760.938008139625,805.0619918603752
116002,9636,8831.340461384421,804.6595386155786
117002,9701,8901.700762909644,799.2992370903557
118002,9771,8972.019322057135,798.9806779428654
119002,9842,9042.29654073338,799.7034592666205
120002,9920,9112.532813606163,807.4671863938365
121002,10002,9182.728528294429,819.2714717055715
122002,10071,9252.884065551596,818.115934448404
123002,10149,9322.999799442676,826.0002005573242
124002,10224,9393.07609751539,830.9239024846102
125002,10310,9463.113320965569,846.8866790344309
126002,10385,9533.111824797059,851.888175202941
127002,10462,9603.07195797637,858.92804202363
128002,10538,9672.994063582257,865.0059364177432
129002,10598,9742.878478950464,855.1215210495357
130002,10679,9812.725535813805,866.2744641861955
131002,10743,9882.535560437787,860.4644395622126
132002,10822,9952.308873751914,869.6911262480862
133002,10895,10022.045791476889,872.9542085231114
134002,10994,10091.746624247822,902.2533757521778
135002,11067,10161.411677733666,905.5883222663342
136002,11140,10231.041252752912,908.9587472470885
137002,11197,10300.63564538584,896.3643546141593
138002,11280,10370.195147083296,909.8048529167045
139002,11352,10439.720044772237,912.2799552277629
140002,11423,10509.21062095813,913.7893790418693
141002,11508,10578.667153824297,929.3328461757028
142002,11570,10648.089917328345,921.9100826716549
143002,11655,10717.479181295774,937.5208187042263
144002,11719,10786.835211510894,932.1647884891063
145002,11802,10856.158269805077,945.841730194923
146002,11878,10925.44861414254,952.5513858574595
147002,11941,10994.706498703632,946.293501296368
148002,12017,11063.932173965824,953.0678260341756
149002,12089,11133.12588678239,955.8741132176092
150002,12148,11202.28788045892,945.71211954108
151002,12232,11271.418394827704,960.5816051722959
152002,12298,11340.517666320093,957.4823336799072
153002,12377,11409.585928036853,967.4140719631469
154002,12456,11478.623409816633,977.3765901833667
155002,12528,11547.630338302602,980.3696616973975
156002,12591,11616.60693700727,974.3930629927308
157002,12688,11685.553426375593,1002.4465736244074
158002,12753,11754.470023846452,998.529976153548
159002,12844,11823.356943912457,1020.6430560875433
160002,12924,11892.214398178232,1031.785601821768
161002,13000,11961.042595417173,1038.9574045828267
162002,13067,12029.841741626753,1037.158258373247
163002,13158,12098.612040082406,1059.3879599175943
164002,13234,12167.353691390024,1066.6463086099757
165002,13310,12236.066893537174,1073.933106462826
166002,13393,12304.751841942965,1088.2481580570347
167002,13465,12373.408729506718,1091.5912704932816
168002,13536,12442.037746655405,1093.9622533445945
169002,13627,12510.639081389932,1116.3609186100675
170002,13685,12579.212919330246,1105.7870806697538
171002,13759,12647.75944375941,1111.2405562405893
172002,13834,12716.278835666551,1117.7211643334485
173002,13902,12784.771273788783,1117.2287262112168
174002,13986,12853.236934652163,1132.7630653478373
175002,14062,12921.675992611614,1140.3240073883862
176002,14141,12990.088619889948,1150.911380110052
177002,14205,13058.474986615942,1146.5250133840582
178002,14296,13126.83526086154,1169.1647391384595
179002,14355,13195.169608678178,1159.8303913218224
180002,14414,13263.478194132273,1150.5218058677274
181002,14491,13331.761179339876,1159.2388206601245
182002,14572,13400.01872450057,1171.981275499429
183002,14636,13468.250987930556,1167.7490120694438
184002,14720,13536.458126095013,1183.5418739049874
185002,14778,13604.640293639708,1173.359706360292
186002,14832,13672.797643421949,1159.202356578051
187002,14907,13740.930326540753,1166.0696734592475
188002,14989,13809.038492366455,1179.961507633545
189002,15058,13877.122288569575,1180.8777114304248
190002,15130,13945.181861149114,1184.8181388508856
191002,15205,14013.217354460186,1191.7826455398135
192002,15278,14081.228911241085,1196.7710887589146
193002,15346,14149.216672639743,1196.7833273602573
194002,15409,14217.180778239639,1191.819221760361
195002,15495,14285.12136608514,1209.8786339148592
196002,15569,14353.038572706308,1215.9614272936924
197002,15666,14420.93253314319,1245.06746685681
198002,15727,14488.803380969579,1238.196619030421
199002,15790,14556.651248316295,1233.348751683705
200002,15876,14624.476265893976,1251.5237341060238
201002,15940,14692.278563015385,1247.7214369846151
202002,16003,14760.058267617282,1242.9417323827183
203002,16079,14827.815506281815,1251.184493718185
204002,16149,14895.550404257505,1253.4495957424951
205002,16233,14963.263085479783,1269.7369145202174
206002,16305,15030.953672591117,1274.0463274088834
207002,16364,15098.622286960745,1265.3777130392555
208002,16446,15166.269048704005,1279.7309512959946
209002,16511,15233.894076701265,1277.1059232987354
210002,16584,15301.497488616504,1282.5025113834963
211002,16647,15369.079400915503,1277.9205990844966
212002,16723,15436.639928883713,1286.3600711162871
213002,16807,15504.179186643716,1302.820813356284
214002,16876,15571.697287172407,1304.3027128275935
215002,16949,15639.194342317809,1309.805657682191
216002,17031,15706.670462815553,1324.329537184447
217002,17117,15774.125758305101,1342.874241694899
218002,17206,15841.560337345574,1364.4396626544258
219002,17264,15908.974307431356,1355.0256925686444
220002,17323,15976.367775007344,1346.6322249926561
221002,17397,16043.740845483953,1353.2591545160467
222002,17490,16111.093623251832,1378.9063767481675
223002,17559,16178.426211696278,1380.5737883037218
224002,17620,16245.738713211376,1374.2612867886237
225002,17687,16313.031229213986,1373.968770786014
226002,17769,16380.303860157303,1388.6961398426974
227002,17829,16447.556705544284,1381.4432944557157
228002,17905,16514.78986394081,1390.2101360591914
229002,17966,16582.00343298858,1383.9965670114216
230002,18021,16649.1975094178,1371.8024905821985
231002,18082,16716.37218905966,1365.6278109403393
232002,18157,16783.52756685849,1373.472433141509
233002,18239,16850.663736883842,1388.336263116158
234002,18321,16917.78079234224,1403.2192076577594
235002,18390,16984.878825588774,1405.121174411226
236002,18482,17051.957928138512,1430.0420718614878
237002,18557,17119.018190677645,1437.9818093223548
238002,18649,17186.059703074465,1462.9402969255352
239002,18708,17253.082554390225,1454.9174456097753
240002,18784,17320.08683288966,1463.9131671103387
241002,18859,17387.072626051493,1471.927373948507
242002,18925,17454.040020578614,1470.9599794213864
243002,18977,17520.989102408188,1456.010897591812
244002,19061,17587.919956721544,1473.0800432784563
245002,19135,17654.832667953895,1480.167332046105
246002,19207,17721.72731980394,1485.2726801960598
247002,19271,17788.6039952432,1482.3960047567998
248002,19360,17855.462776525346,1504.5372234746537
249002,19421,17922.303745195233,1498.6962548047668
250002,19494,17989.126982097867,1504.8730179021331
251002,19577,18055.932567387175,1521.0674326128246
252002,19631,18122.720580534682,1508.279419465318
253002,19712,18189.491100337993,1522.508899662007
254002,19778,18256.24420492919,1521.7557950708106
255002,19853,18322.979971783,1530.0200282170008
256002,19920,18389.69847772497,1530.3015222750291
257002,19996,18456.39979893938,1539.6002010606207
258002,20064,18523.084010977072,1540.9159890229275
259002,20145,18589.751188763203,1555.2488112367973
260002,20224,18656.401406604808,1567.5985933951924
261002,20303,18723.034738198265,1579.9652618017353
262002,20378,18789.65125663664,1588.34874336336
263002,20455,18856.25103441692,1598.7489655830796
264002,20528,18922.834143447166,1605.1658565528342
265002,20595,18989.400655053447,1605.5993449465532
266002,20666,19055.95063998681,1610.0493600131886
267002,20731,19122.484168430023,1608.5158315699773
268002,20780,19189.00131000426,1590.9986899957403
269002,20860,19255.50213377572,1604.4978662242793
270002,20929,19321.986708262062,1607.0132917379378
271002,20996,19388.4551014388,1607.5448985611984
272002,21078,19454.907380745608,1623.092619254392
273002,21131,19521.34361309246,1609.6563869075399
274002,21210,19587.763864865767,1622.2361351342333
275002,21284,19654.168201934353,1629.8317980656466
276002,21356,19720.55668965536,1635.443310344639
277002,21424,19786.929392880105,1637.0706071198947
278002,21487,19853.28637595976,1633.7136240402397
279002,21561,19919.627702751044,1641.3722972489559
280002,21639,19985.95343662178,1653.0465633782187
281002,21700,20052.263640456367,1647.7363595436327
282002,21764,20118.558376661178,1645.441623338822
283002,21842,20184.837707169903,1657.1622928300967
284002,21915,20251.101693448756,1663.8983065512439
285002,21977,20317.350396501715,1659.6496034982847
286002,22055,20383.583876875517,1671.4161231244834
287002,22143,20449.802194664764,1693.197805335236
288002,22219,20516.00540951681,1702.9945904831911
289002,22295,20582.193580636686,1712.8064193633145
290002,22365,20648.36676679184,1716.6332332081583
291002,22432,20714.52502631696,1717.4749736830418
292002,22506,20780.66841711856,1725.3315828814411
293002,22581,20846.796996679648,1734.2030033203519
294002,22678,20912.910822064216,1765.0891779357844
295002,22735,20979.00994992175,1755.9900500782496
296002,22798,21045.09443649161,1752.9055635083896
297002,22873,21111.16433760742,1761.8356623925793
298002,22955,21177.219708701316,1777.7802912986845
299002,23034,21243.26060480819,1790.7393951918093
300002,23101,21309.287080569877,1791.7129194301233
301002,23165,21375.299190239246,1789.700809760754
302002,23242,21441.296987684273,1800.7030123157274
303002,23316,21507.280526392027,1808.7194736079728
304002,23382,21573.249859472628,1808.7501405273724
305002,23452,21639.205039663135,1812.7949603368652
306002,23516,21705.146119331384,1810.8538806686156
307002,23589,21771.073150479784,1817.926849520216
308002,23663,21836.986184749043,1826.0138152509571
309002,23752,21902.885273421853,1849.1147265781474
310002,23813,21968.770467426555,1844.2295325734449
311002,23880,22034.64181734068,1845.3581826593218
312002,23960,22100.499373394527,1859.5006266054734
313002,24021,22166.343185474645,1854.656814525355
314002,24075,22232.173303127274,1842.8266968727257
315002,24145,22297.98977556177,1847.0102244382288
316002,24216,22363.792651653923,1852.2073483460772
317002,24280,22429.581979949297,1850.4180200507035
318002,24354,22495.357808666522,1858.642191333478
319002,24420,22561.120185700445,1858.8798142995547
320002,24466,22626.86915862541,1839.13084137459
321002,24535,22692.60477469834,1842.3952253016614
322002,24592,22758.327080861847,1833.6729191381528
323002,24674,22824.03612374732,1849.963876252681
324002,24755,22889.73194967795,1865.2680503220508
325002,24824,22955.414604671656,1868.585395328344
326002,24875,23021.08413444412,1853.9158655558786
327002,24956,23086.740584411637,1869.2594155883635
328002,25021,23152.38399969403,1868.6160003059704
329002,25090,23218.014425117417,1871.985574882583
330002,25161,23283.631905217113,1877.368094782887
331002,25234,23349.236484240308,1884.7635157596924
332002,25302,23414.828206148835,1887.1717938511647
333002,25384,23480.407114621885,1903.5928853781152
334002,25450,23545.97325305864,1904.0267469413593
335002,25514,23611.526664580917,1902.473335419083
336002,25587,23677.067392035755,1909.932607964245
337002,25656,23742.595477998017,1913.4045220019834
338002,25724,23808.11096477288,1915.8890352271192
339002,25784,23873.613894398353,1910.3861056016467
340002,25882,23939.104308647784,1942.895691352216
341002,25951,24004.58224903224,1946.417750967761
342002,26017,24070.04775680299,1946.9522431970108
343002,26087,24135.500872953824,1951.499127046176
344002,26163,24200.94163822346,1962.0583617765406
345002,26234,24266.37009309784,1967.6299069021588
346002,26298,24331.786277812447,1966.2137221875528
347002,26368,24397.190232354566,1970.8097676454345
348002,26438,24462.58199646552,1975.4180035344798
349002,26514,24527.961609642924,1986.0383903570764
350002,26567,24593.32911114283,1973.6708888571702
351002,26638,24658.684539981932,1979.3154600180678
352002,26710,24724.02793493967,1985.9720650603304
353002,26784,24789.35933456039,1994.6406654396087
354002,26861,24854.678777155365,2006.3212228446355
355002,26929,24919.986300804954,2009.0136991950458
356002,27004,24985.281943360565,2018.7180566394345
357002,27082,25050.56574244671,2031.43425755329
358002,27152,25115.837735462967,2036.1622645370335
359002,27202,25181.097959586015,2020.9020404139847
360002,27272,25246.3464517715,2025.6535482284999
361002,27358,25311.58324875604,2046.4167512439599
362002,27440,25376.80838705907,2063.191612940929
363002,27507,25442.021902984758,2064.9780970152424
364002,27575,25507.22383262384,2067.7761673761597
365002,27649,25572.41421185549,2076.5857881445118
366002,27715,25637.593076349116,2077.406923650884
367002,27777,25702.760461566166,2074.2395384338342
368002,27851,25767.91640276191,2083.0835972380883
369002,27926,25833.060934987177,2092.9390650128225
370002,28009,25898.194093090126,2110.8059069098745
371002,28080,25963.315911717953,2116.684088282047
372002,28144,26028.426425318565,2115.5735746814353
373002,28194,26093.525668142298,2100.474331857702
374002,28269,26158.613674243556,2110.3863257564444
375002,28334,26223.690477482458,2110.309522517542
376002,28401,26288.756111526473,2112.2438884735275
377002,28467,26353.810609852022,2113.189390147978
378002,28548,26418.854005746063,2129.145994253937
379002,28606,26483.88633230766,2122.1136676923416
380002,28678,26548.90762244957,2129.0923775504307
381002,28763,26613.917908899723,2149.0820911002775
382002,28834,26678.917224202818,2155.082775797182
383002,28914,26743.905600721737,2170.094399278263
384002,28978,26808.88307063915,2169.116929360851
385002,29051,26873.84966595886,2177.15033404114
386002,29126,26938.805418507356,2187.194581492644
387002,29193,27003.75035993523,2189.2496400647688
388002,29263,27068.684521718562,2194.315478281438
389002,29333,27133.607935160395,2199.392064839605
390002,29400,27198.520631392075,2201.4793686079247
391002,29473,27263.422641374673,2209.577358625327
392002,29536,27328.313995900324,2207.686004099676
393002,29603,27393.194725593585,2209.8052744064153
394002,29658,27458.064860912793,2199.935139087207
395002,29732,27522.92443215135,2209.0755678486494
396002,29807,27587.77346943907,2219.226530560929
397002,29886,27652.612002743474,2233.3879972565264
398002,29964,27717.440061871017,2246.559938128983
399002,30030,27782.257676468438,2247.742323531562
400002,30091,27847.06487602396,2243.93512397604
401002,30172,27911.861689868543,2260.138310131457
402002,30240,27976.64814717713,2263.3518528228706
403002,30320,28041.424276969858,2278.5757230301424
404002,30384,28106.19010811325,2277.809891886751
405002,30460,28170.945669321423,2289.0543306785767
406002,30528,28235.690989157272,2292.3090108427277
407002,30603,28300.426096033614,2302.573903966386
408002,30668,28365.151018214372,2302.848981785628
409002,30739,28429.865783815698,2309.134216184302
410002,30802,28494.57042080713,2307.4295791928707
411002,30875,28559.264957012685,2315.735042987315
412002,30956,28623.949420112003,2332.0505798879967
413002,31035,28688.623837641397,2346.3761623586033
414002,31113,28753.288236995006,2359.7117630049943
415002,31161,28817.94264542582,2343.057354574179
416002,31236,28882.58709004677,2353.4129099532292
417002,31318,28947.221597831784,2370.7784021682164
418002,31376,29011.84619561682,2364.153804383179
419002,31427,29076.460910100905,2350.5390898990954
420002,31499,29141.065767847183,2357.9342321528165
421002,31565,29205.660795283882,2359.339204716118
422002,31643,29270.246018705384,2372.753981294616
423002,31712,29334.82146427316,2377.178535726842
424002,31775,29399.38715801678,2375.6128419832203
425002,31838,29463.943125834892,2374.0568741651077
426002,31911,29528.489393496187,2382.5106065038126
427002,31979,29593.02598664035,2385.9740133596497
428002,32046,29657.55293077902,2388.4470692209798
429002,32130,29722.070251296704,2407.9297487032964
430002,32180,29786.577973451727,2393.4220265482727
431002,32255,29851.076122377155,2403.923877622845
432002,32318,29915.564723081683,2402.435276918317
433002,32396,29980.043800450563,2415.956199549437
434002,32461,30044.513379246484,2416.486620753516
435002,32529,30108.97348411048,2420.02651588952
436002,32584,30173.424139562754,2410.575860437246
437002,32653,30237.865370003616,2415.1346299963843
438002,32736,30302.297199714296,2433.702800285704
439002,32804,30366.71965285779,2437.2803471422085
440002,32883,30431.132753479775,2451.8672465202253
441002,32952,30495.536525509335,2456.4634744906652
442002,33026,30559.930992759902,2466.0690072400976
443002,33086,30624.316178930007,2461.6838210699934
444002,33145,30688.69210760409,2456.307892395911
445002,33208,30753.05880225334,2454.941197746659
446002,33288,30817.416286236497,2470.5837137635026
447002,33360,30881.76458280062,2478.2354171993793
448002,33443,30946.10371508186,2496.8962849181407
449002,33511,31010.43370610627,2500.566293893731
450002,33568,31074.754578790533,2493.245421209467
451002,33623,31139.06635594277,2483.9336440572297
452002,33680,31203.369060263292,2476.6309397367077
453002,33768,31267.662714345264,2500.3372856547358
454002,33857,31331.94734067558,2525.0526593244213
455002,33944,31396.222961635496,2547.777038364504
456002,34004,31460.48959950138,2543.5104004986206
457002,34055,31524.747276445472,2530.2527235545276
458002,34122,31588.996014536548,2533.0039854634524
459002,34198,31653.235835740663,2544.764164259337
460002,34276,31717.466761921838,2558.533238078162
461002,34343,31781.68881484276,2561.3111851572394
462002,34427,31845.902016165448,2581.097983834552
463002,34509,31910.10638745199,2598.8936125480104
464002,34570,31974.301950165172,2595.6980498348275
465002,34634,32038.48872566915,2595.511274330849
466002,34699,32102.66673523018,2596.333264769819
467002,34774,32166.836000017145,2607.163999982855
468002,34838,32230.996541102373,2607.003458897627
469002,34896,32295.148379462145,2600.8516205378546
470002,34966,32359.291535977427,2606.708464022573
471002,35030,32423.426031434443,2606.573968565557
472002,35101,32487.551886525347,2613.448113474653
473002,35167,32551.669121848856,2615.330878151144
474002,35226,32615.7777579108,2610.2222420891994
475002,35288,32679.877815124855,2608.1221848751447
476002,35349,32743.96931381301,2605.0306861869904
477002,35417,32808.0522742063,2608.9477257937033
478002,35496,32872.12671644531,2623.8732835546907
479002,35538,32936.19266058082,2601.8073394191815
480002,35613,33000.25012657437,2612.7498734256296
481002,35691,33064.29913429885,2626.7008657011465
482002,35759,33128.33970353911,2630.66029646089
483002,35821,33192.37185399246,2628.6281460075406
484002,35886,33256.3956052693,2629.604394730697
485002,35968,33320.41097689366,2647.5890231063386
486002,36060,33384.41798830375,2675.5820116962495
487002,36115,33448.416658852526,2666.583341147474
488002,36191,33512.40700780828,2678.5929921917195
489002,36234,33576.389054355066,2657.610945644934
490002,36300,33640.36281759339,2659.637182406608
491002,36365,33704.32831654061,2660.67168345939
492002,36429,33768.285570131564,2660.714429868436
493002,36507,33832.234597219045,2674.765402780955
494002,36565,33896.17541657435,2668.8245834256522
495002,36629,33960.10804688775,2668.891953112252
496002,36691,34024.032506769094,2666.9674932309063
497002,36756,34087.94881474817,2668.051185251832
498002,36823,34151.856989275424,2671.143010724576
